Nmi,41032542894,NETWORK,ENERGYAP
Stream ID,"Meter 701228217,701228217",B1,B1,KWH,Solar
LOCAL TIME,AEST
Date/Time,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,Quality,Total
20250401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0073,0.011,0,0,0,0,0.0195,0.0638,0.0348,0,0,0.0075,0.0168,0.036,0.0023,0,0.0652,0.0527,0.095,0.0366,0.0637,0.0878,0.1981,0.3992,0.4156,0.3371,0.2525,0.386,0.2933,0.2603,0.1256,0.0931,0.1007,0.2484,0.2387,0.183,0.4049,0.4715,0.1302,0.141,0.0873,0.2809,0.2893,0.3014,0.4742,0.3281,0.2655,0.1684,0.244,0.5049,0.5642,0.4485,0.273,0.1486,0.2859,0.4635,0.3528,0.3351,0.3518,0.0595,0.1054,0.4008,0.3194,0.3905,0.2184,0.1659,0.0517,0.307,0.0849,0.1969,0.3006,0.333,0.2617,0.3437,0.4704,0.2398,0.2536,0.1869,0.087,0.0636,0.1045,0.1739,0.1782,0.1631,0.4254,0.1261,0.2371,0.2783,0.2821,0.3493,0.3271,0.2136,0.2138,0.0784,0.1024,0.1219,0.3137,0.1829,0.114,0.1026,0.001,0.1011,0.207,0.2421,0.1353,0.109,0.1596,0.1268,0.0191,0.1099,0.1293,0.0009,0.0714,0.1,0.1072,0.0905,0.0355,0,0,0,0,0,0,0.0045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,22.1259
20250402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0004,0.0005,0,0,0,0,0.0004,0.0009,0.0211,0.0089,0.014,0.0236,0.0255,0.0259,0.041,0.0426,0.0459,0.0446,0.0537,0.0835,0.1211,0.1152,0.0648,0.112,0.1824,0.416,0.3218,0.2771,0.1959,0.2192,0.2891,0.1889,0.1583,0.1528,0.1932,0.219,0.2924,0.3668,0.2911,0.538,0.3966,0.3873,0.3846,0.4212,0.425,0.4915,0.4781,0.5515,0.4531,0.5233,0.4018,0.6234,0.6526,0.5339,0.1436,0.4395,0.5379,0.459,0.4781,0.5944,0.6205,0.6173,0.6089,0.4689,0.4438,0.4456,0.4872,0.6327,0.619,0.6225,0.632,0.6374,0.5246,0.5089,0.5079,0.5047,0.5041,0.4956,0.3353,0.4681,0.5393,0.6271,0.6496,0.6648,0.6628,0.6518,0.6224,0.6199,0.6071,0.5957,0.5899,0.5794,0.5715,0.559,0.5437,0.5295,0.5134,0.499,0.4811,0.3998,0.4197,0.2734,0.233,0.331,0.258,0.1241,0.1634,0.1983,0.2498,0.2799,0.306,0.299,0.2888,0.2763,0.2622,0.2469,0.2253,0.1906,0.1436,0.1067,0.0584,0.007,0.0014,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,41.6588
20250403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005,0.0008,0.0008,0.0004,0.0015,0.0081,0.0076,0.0001,0.0001,0.0007,0.0025,0.0049,0.0025,0.0071,0,0,0,0.0084,0.0489,0.0724,0.0908,0.0945,0.1352,0.1488,0.1666,0.1726,0.2104,0.1323,0.1652,0.4121,0.4644,0.4461,0.5019,0.2849,0.1438,0.2398,0.3452,0.5299,0.5899,0.5787,0.6222,0.6014,0.6276,0.6369,0.6143,0.6632,0.6351,0.6517,0.6384,0.6282,0.64,0.6163,0.6475,0.6376,0.6503,0.6467,0.6457,0.6575,0.6374,0.6657,0.6291,0.657,0.6338,0.6552,0.6371,0.6346,0.441,0.4803,0.4976,0.5235,0.5334,0.5194,0.5294,0.5468,0.5071,0.4736,0.5137,0.4989,0.5228,0.5005,0.5197,0.4955,0.525,0.5034,0.6377,0.6119,0.6621,0.6315,0.5984,0.6265,0.5192,0.5879,0.2953,0.3833,0.5511,0.5717,0.5295,0.5191,0.5182,0.4778,0.4875,0.449,0.3916,0.2648,0.4049,0.1181,0.2922,0.3784,0.3536,0.2094,0.2794,0.3208,0.3388,0.3242,0.312,0.2784,0.2819,0.2439,0.2452,0.2346,0.1901,0.1046,0.076,0.0738,0.0484,0.0192,0.0024,0.0018,0.0003,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,47.2091
20250404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0,0.001,0.0019,0.0009,0.0011,0.0005,0.0046,0.0074,0.0084,0.0122,0.0162,0.0202,0.0004,0,0,0,0,0.0269,0.0498,0.0144,0.0042,0,0.0012,0.1342,0.2013,0.1916,0.2832,0.3328,0.2024,0.2402,0.2571,0.3467,0.4888,0.4967,0.5105,0.4185,0.5082,0.5448,0.551,0.5673,0.5756,0.5866,0.5987,0.608,0.5193,0.6276,0.5239,0.6357,0.639,0.6502,0.5274,0.5556,0.4024,0.0484,0.1165,0.6227,0.6152,0.587,0.6021,0.4503,0.5158,0.5208,0.0686,0.043,0.0969,0.4684,0.603,0.5034,0.3458,0.1432,0.0472,0.233,0.5989,0.4222,0.3884,0.388,0.0459,0,0.0151,0.0163,0,0.2151,0.3854,0.1447,0,0.0058,0.0001,0.0591,0,0,0.0187,0.3371,0.2126,0.0798,0.0505,0.0882,0.1223,0.0428,0.2446,0.3044,0.3062,0.3778,0.3316,0.3793,0.4278,0.4428,0.3272,0.2134,0.2766,0.1733,0.2735,0.3467,0.3506,0.2251,0.1414,0.1201,0.1555,0.3128,0.2906,0.1506,0.1185,0.0644,0.0551,0.0494,0.0426,0.0328,0.0146,0.0045,0,0,0,0.0007,0.0003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,30.7198
20250405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007,0.0035,0.0017,0.009,0.0077,0.0006,0,0,0,0.005,0.0194,0.0345,0.0706,0.0883,0.0662,0.0611,0.1459,0.2001,0.2434,0.3025,0.2472,0.2394,0.2923,0.3849,0.5225,0.5364,0.5482,0.5618,0.5758,0.5995,0.6145,0.6275,0.6421,0.6489,0.6592,0.663,0.6612,0.6474,0.6676,0.6699,0.6625,0.6486,0.6509,0.6426,0.6239,0.6336,0.6488,0.6306,0.6269,0.6181,0.625,0.625,0.6232,0.6319,0.6404,0.6316,0.6306,0.6392,0.6196,0.6311,0.6351,0.6353,0.6182,0.5943,0.5254,0.5539,0.6175,0.6279,0.6194,0.6173,0.61,0.6004,0.5902,0.5774,0.5738,0.6004,0.6071,0.6057,0.5999,0.5824,0.424,0.4172,0.4227,0.5143,0.5225,0.525,0.4999,0.5409,0.4477,0.2837,0.2275,0.2408,0.407,0.3991,0.3846,0.3605,0.2836,0.1413,0.14,0.139,0.2145,0.3039,0.265,0.3179,0.3059,0.2946,0.2084,0.1414,0.129,0.1138,0.1017,0.0891,0.0741,0.0397,0.0023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,46.8678
20250406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0.0002,0.0006,0.0086,0.0062,0.0129,0,0,0,0.0845,0.1414,0.1689,0.0248,0.0849,0.0938,0.0625,0.2996,0.3268,0.3576,0.3184,0.3487,0.4006,0.4168,0.4228,0.437,0.3868,0.2867,0.3026,0.3756,0.4902,0.482,0.5138,0.5019,0.4928,0.4999,0.5045,0.516,0.499,0.5115,0.5277,0.4557,0.4354,0.4269,0.4097,0.4366,0.4038,0.5219,0.5588,0.5415,0.5272,0.5369,0.5734,0.5576,0.5817,0.5675,0.577,0.6158,0.6082,0.5746,0.6128,0.6037,0.6504,0.6467,0.6504,0.6501,0.6465,0.6461,0.6497,0.4992,0.5336,0.6449,0.6394,0.6299,0.6524,0.6189,0.6328,0.6238,0.6126,0.6121,0.6055,0.5886,0.5617,0.522,0.2905,0.2246,0.3416,0.374,0.2697,0.1231,0.1255,0.1258,0.2299,0.4159,0.4353,0.296,0.2004,0.1329,0.0973,0.0953,0.0696,0.0568,0.0311,0.0553,0.0449,0.0282,0.0139,0.0216,0.0412,0.0162,0.0002,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,39.7096
20250407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,0.0006,0.0016,0.0001,0.0003,0,0,0.0001,0.0015,0.0027,0.0025,0,0,0,0.0149,0.0238,0.041,0.0613,0.075,0.0927,0.1112,0.124,0.1561,0.1917,0.0914,0,0.0174,0.1767,0.2516,0.2344,0.2798,0.2738,0.2417,0.3368,0.3216,0.2956,0.1354,0.1689,0.2085,0.4053,0.4454,0.4209,0.4754,0.4867,0.4937,0.3854,0.3138,0.316,0.3175,0.4907,0.5104,0.5091,0.5131,0.4547,0.509,0.5038,0.5152,0.4986,0.5296,0.5376,0.5095,0.5129,0.4856,0.4963,0.4936,0.4985,0.4921,0.4952,0.4781,0.4937,0.5052,0.483,0.4878,0.4896,0.485,0.4998,0.4974,0.4982,0.5023,0.4957,0.4914,0.4847,0.4825,0.4759,0.4671,0.4965,0.6361,0.6247,0.6128,0.6029,0.5924,0.586,0.575,0.5614,0.5492,0.538,0.5225,0.5078,0.4922,0.4768,0.4612,0.4441,0.4305,0.4157,0.4014,0.3856,0.3703,0.3563,0.339,0.3218,0.3094,0.2979,0.2849,0.2738,0.2635,0.2536,0.241,0.228,0.2139,0.1574,0.1531,0.1082,0.0538,0.0248,0.0004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,41.0318
20250408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0047,0.0273,0.0366,0.0358,0.036,0.0317,0.0406,0.0896,0.0901,0.1048,0.1229,0.1251,0.1743,0.1954,0.206,0.083,0.0712,0.0762,0.0631,0.0649,0.0681,0.0716,0.1071,0.1672,0.2674,0.2729,0.1643,0.136,0.1977,0.2411,0.3444,0.2593,0.351,0.2821,0.3919,0.4002,0.4287,0.2782,0.2781,0.2408,0.2242,0.207,0.1814,0.3435,0.2802,0.2946,0.4027,0.2591,0.1743,0.2877,0.4514,0.5649,0.2262,0.0174,0.0051,0.0384,0.023,0.0052,0.0001,0.0079,0.0345,0.0775,0.1262,0.1565,0.1761,0.1567,0.135,0.1553,0.1879,0.2216,0.3782,0.2718,0.3006,0.1861,0.0303,0,0,0,0,0,0,0,0,0.0014,0.0126,0.0341,0.1488,0.1357,0.2002,0.1321,0.1903,0.0613,0.0453,0.0175,0,0,0.0111,0.0339,0.0871,0.2938,0.2363,0.1482,0,0,0,0,0,0.0001,0,0,0,0,0,0,0.0002,0.0002,0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,15.0067
20250409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014,0.056,0.0396,0.0447,0.123,0.0725,0.0828,0.0929,0.1321,0.1359,0.1874,0.1783,0.1046,0.0423,0.0878,0.0592,0.0921,0.1337,0.2573,0.4121,0.5056,0.0894,0.1989,0.0883,0.1232,0.111,0.3049,0.2445,0.0204,0.2222,0.3904,0.3189,0.2199,0.3428,0.5986,0.4031,0.0086,0.1483,0.0156,0.001,0.0001,0.0482,0.2457,0.0839,0.1839,0.1615,0.0751,0.0288,0.042,0.2126,0.1528,0.1335,0.1638,0.6519,0.1857,0.3329,0.4561,0.2117,0.2391,0.134,0.1997,0.1305,0.3442,0.6559,0.5803,0.6066,0.5348,0.594,0.1088,0.0703,0.2494,0.1386,0.2586,0.202,0.141,0.6189,0.6677,0.6313,0.6709,0.5429,0.5318,0.4326,0.4396,0.291,0.2427,0.5461,0.4123,0.3706,0.2812,0.3061,0.4634,0.4492,0.3655,0.2495,0.1916,0.1578,0.299,0.2408,0.2847,0.3542,0.3184,0.2966,0.3051,0.2966,0.283,0.2909,0.2934,0.2513,0.2217,0.1497,0.0957,0.0818,0.0457,0.0131,0.0004,0.0001,0.0002,0.0011,0.0017,0.0019,0.0013,0.0008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,28.2412
20250410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0166,0.0526,0.064,0.0802,0.1032,0.104,0.1015,0.1052,0.0909,0.0938,0.0957,0.0935,0.0384,0.0575,0.0756,0.086,0.1083,0.1249,0.1633,0.1947,0.2027,0.1936,0.1692,0.0898,0.0567,0.1954,0.2559,0.2066,0.1926,0.2115,0.2143,0.2267,0.2382,0.2626,0.2957,0.4253,0.4731,0.3535,0.3398,0.2575,0.2196,0.167,0.1662,0.1541,0.15,0.1654,0.0953,0.0759,0.0834,0.0886,0.0621,0.0252,0.1497,0.3411,0.4322,0.2742,0.0215,0,0.0354,0.0666,0.0407,0.0554,0.0698,0.085,0,0,0.003,0.0883,0.2256,0.2027,0.1356,0.0822,0.1158,0.1125,0.1076,0.1172,0.1128,0.1519,0.2718,0.3207,0.2184,0.1549,0.1367,0.1107,0.0578,0.0321,0.0322,0.0356,0.0383,0.0719,0.0065,0.283,0.4187,0.2733,0.1997,0.0924,0.1252,0.2474,0.266,0.1924,0.2827,0.1991,0.0569,0.0935,0.1059,0.026,0.0034,0.0001,0,0,0,0,0,0,0.0001,0,0,0.0002,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,15.5440
